bucket,sponsor_name,city,ein,plan_num,source,participants,detail
NEW,CABOT CORPORATION,BILLERICA,042271897,022,F_5500,1910.0,
NEW,WATERS TECHNOLOGIES CORPORATION,MILFORD,043234558,002,F_5500,4380.0,
NEW,"CRANE NXT, CO.",WALTHAM,880706021,001,F_5500,2071.0,
RETURNING,BROCKWAY-SMITH COMPANY,ANDOVER,041123740,003,F_5500,66.0,
RETURNING,"NORTHERN CONSTRUCTION HOLDING, INC. ESOP",PALMER,043298009,003,F_5500,51.0,
RETURNING,EASTERN BANK,BOSTON,043067724,003,F_5500,557.0,
DB_ONLY,Janis Research,Woburn,42348065,2,db,90,not in fresh bulk
DB_ONLY,"Oem Connect, Ltd.",Billerica,43223296,2,db,43,not in fresh bulk
FIELD_MISMATCH,Harpoon Brewery (EIN 42925204),,,,F_5500/SF,,total_participants: DB=346 DOL=11
FIELD_MISMATCH,Green Tech Enterprises (EIN 332432954),,,,SCH_I,,total_assets: DB=8656778.0 DOL=6468002.0
FIELD_MISMATCH,Green Tech Enterprises (EIN 332432954),,,,SCH_I,,total_liabilities: DB=54146999.0 DOL=4006488.0
FIELD_MISMATCH,Green Tech Enterprises (EIN 332432954),,,,SCH_I,,employer_contributions: DB=2278928.0 DOL=188002.0
FIELD_MISMATCH,Green Tech Enterprises (EIN 332432954),,,,SCH_I,,net_income: DB=-45490221.0 DOL=2461514.0
FIELD_MISMATCH,"Web Industries, Inc. (EIN 42880295)",,,,SCH_H,,employer_contributions: DB=0.0 DOL=4482639.0
